Parameter,Direction,Metric,Baseline_Value,Perturbed_Value,Temperature_Change_K,Temperature_Change_Pct,Parameter_Change_Pct,Sensitivity,Abs_Sensitivity
Q_batt_zone,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
Q_batt_zone,positive,max_esc_temp,396.70169271945116,396.7016927194511,-5.684341886080802e-14,-1.4329008396999172e-14,5.0,-2.8658016793998345e-15,2.8658016793998345e-15
Q_batt_zone,positive,max_system_temp,396.70169271945116,396.7016927194511,-5.684341886080802e-14,-1.4329008396999172e-14,5.0,-2.8658016793998345e-15,2.8658016793998345e-15
Q_batt_zone,negative,max_battery_temp,315.93751800605236,315.76069004579193,-0.17682796026042524,-0.0559692819568956,-5.0,0.011193856391379119,0.011193856391379119
Q_batt_zone,negative,max_esc_temp,396.70169271945116,396.6139226755005,-0.08777004395068388,-0.022124948181845842,-5.0,0.004424989636369168,0.004424989636369168
Q_batt_zone,negative,max_system_temp,396.70169271945116,396.6139226755005,-0.08777004395068388,-0.022124948181845842,-5.0,0.004424989636369168,0.004424989636369168
Q_ESC,positive,max_battery_temp,315.93751800605236,316.8580475425684,0.9205295365160282,0.2913644262086005,5.0,0.05827288524172009,0.05827288524172009
Q_ESC,positive,max_esc_temp,396.70169271945116,400.6409131466072,3.9392204271560445,0.9929930976981929,5.0,0.1985986195396386,0.1985986195396386
Q_ESC,positive,max_system_temp,396.70169271945116,400.6409131466072,3.9392204271560445,0.9929930976981929,5.0,0.1985986195396386,0.1985986195396386
Q_ESC,negative,max_battery_temp,315.93751800605236,315.00655914223773,-0.9309588638146238,-0.2946654989537487,-5.0,0.05893309979074974,0.05893309979074974
Q_ESC,negative,max_esc_temp,396.70169271945116,392.6893328557945,-4.012359863656684,-1.0114299831067872,-5.0,0.20228599662135743,0.20228599662135743
Q_ESC,negative,max_system_temp,396.70169271945116,392.6893328557945,-4.012359863656684,-1.0114299831067872,-5.0,0.20228599662135743,0.20228599662135743
k_eff_batt,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
k_eff_batt,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_eff_batt,positive,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_eff_batt,negative,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,-5.0,-0.0,0.0
k_eff_batt,negative,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_eff_batt,negative,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_cfrp,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
k_cfrp,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_cfrp,positive,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_cfrp,negative,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,-5.0,-0.0,0.0
k_cfrp,negative,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_cfrp,negative,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_mount,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
k_mount,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_mount,positive,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_mount,negative,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,-5.0,-0.0,0.0
k_mount,negative,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_mount,negative,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_plate,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
k_plate,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_plate,positive,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_plate,negative,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,-5.0,-0.0,0.0
k_plate,negative,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_plate,negative,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_bulkhead,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
k_bulkhead,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_bulkhead,positive,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
k_bulkhead,negative,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,-5.0,-0.0,0.0
k_bulkhead,negative,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
k_bulkhead,negative,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
A_conv_batt_top,positive,max_battery_temp,315.93751800605236,315.93863798948473,0.0011199834323747382,0.00035449523039972824,5.0,7.089904607994565e-05,7.089904607994565e-05
A_conv_batt_top,positive,max_esc_temp,396.70169271945116,396.7012619394399,-0.0004307800112428595,-0.00010859041419505831,5.0,-2.171808283901166e-05,2.171808283901166e-05
A_conv_batt_top,positive,max_system_temp,396.70169271945116,396.7012619394399,-0.0004307800112428595,-0.00010859041419505831,5.0,-2.171808283901166e-05,2.171808283901166e-05
A_conv_batt_top,negative,max_battery_temp,315.93751800605236,315.93639551280546,-0.0011224932468962834,-0.00035528963257690086,-5.0,7.105792651538017e-05,7.105792651538017e-05
A_conv_batt_top,negative,max_esc_temp,396.70169271945116,396.70212443404625,0.00043171459509494525,0.0001088260027668335,-5.0,-2.17652005533667e-05,2.17652005533667e-05
A_conv_batt_top,negative,max_system_temp,396.70169271945116,396.70212443404625,0.00043171459509494525,0.0001088260027668335,-5.0,-2.17652005533667e-05,2.17652005533667e-05
A_conv_esc_top,positive,max_battery_temp,315.93751800605236,315.93838819363333,0.000870187580972015,0.00027543027699399253,5.0,5.50860553987985e-05,5.50860553987985e-05
A_conv_esc_top,positive,max_esc_temp,396.70169271945116,396.6844186299428,-0.017274089508362067,-0.0043544279808703425,5.0,-0.0008708855961740684,0.0008708855961740684
A_conv_esc_top,positive,max_system_temp,396.70169271945116,396.6844186299428,-0.017274089508362067,-0.0043544279808703425,5.0,-0.0008708855961740684,0.0008708855961740684
A_conv_esc_top,negative,max_battery_temp,315.93751800605236,315.93664739108215,-0.0008706149702106813,-0.0002755655535009942,-5.0,5.511311070019884e-05,5.511311070019884e-05
A_conv_esc_top,negative,max_esc_temp,396.70169271945116,396.718974586496,0.01728186704485779,0.004356388531238153,-5.0,-0.0008712777062476306,0.0008712777062476306
A_conv_esc_top,negative,max_system_temp,396.70169271945116,396.718974586496,0.01728186704485779,0.004356388531238153,-5.0,-0.0008712777062476306,0.0008712777062476306
initial_temp_K,positive,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,5.0,0.0,0.0
initial_temp_K,positive,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
initial_temp_K,positive,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,5.0,0.0,0.0
initial_temp_K,negative,max_battery_temp,315.93751800605236,315.93751800605236,0.0,0.0,-5.0,-0.0,0.0
initial_temp_K,negative,max_esc_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
initial_temp_K,negative,max_system_temp,396.70169271945116,396.70169271945116,0.0,0.0,-5.0,-0.0,0.0
